time,command_i1,command_i2,set_v1,set_v2,i1,i2,pos1,pos2,vel1,vel2
1669426401.0908537,0.1,-0.1,0,0,0.09967947006225586,-0.04515409469604492,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.1017964,0.1,-0.1,0,0,0.16078662872314453,-0.10556316375732422,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.1127472,0.1,-0.1,0,0,0.0741720199584961,-0.12929105758666992,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.1227698,0.1,-0.1,0,0,0.18787622451782227,-0.10167074203491211,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.133739,0.1,-0.1,0,0,0.17403602600097656,-0.060274600982666016,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.1446998,0.1,-0.1,0,0,0.08405828475952148,-0.30236148834228516,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.1547468,0.1,-0.1,0,0,0.10482215881347656,-0.0524897575378418,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.165684,0.1,-0.1,0,0,0.03501749038696289,-0.1072840690612793,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.1757095,0.1,-0.1,0,0,0.09967947006225586,-0.15302181243896484,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.186624,0.1,-0.1,0,0,0.08920097351074219,-0.11117792129516602,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.19756,0.1,-0.1,0,0,0.10541439056396484,-0.12494802474975586,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.2084935,0.1,-0.1,0,0,0.062896728515625,-0.088348388671875,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.2194507,0.1,-0.1,0,0,0.03501749038696289,0.013534069061279297,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.229527,0.1,-0.1,0,0,0.07713747024536133,-0.0874485969543457,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.2405145,0.1,-0.1,0,0,0.1170802116394043,-0.08961868286132812,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.2514052,0.1,-0.1,0,0,0.10996484756469727,-0.05982685089111328,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.2623632,0.1,-0.1,0,0,0.040158748626708984,-0.07839202880859375,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.273327,0.1,-0.1,0,0,0.05755949020385742,-0.1111764907836914,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.2842977,0.1,-0.1,0,0,0.23375844955444336,-0.12158489227294922,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.2952852,0.1,-0.1,0,0,0.11411476135253906,-0.12367630004882812,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.3062348,0.1,-0.1,0,0,0.15505027770996094,-0.12412691116333008,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.3171978,0.1,-0.1,0,0,0.14180231094360352,-0.11162710189819336,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
